emoji,name,group,subgroup,literal,clarity,keep
👆🏽,backhand index pointing up: medium skin tone,People & Body,hand-single-finger,point-up,,
👆🏾,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger,point-up,,
👆🏿,backhand index pointing up: dark skin tone,People & Body,hand-single-finger,point-up,,
🖕,middle finger,People & Body,hand-single-finger,middle-finger,,
🖕🏻,middle finger: light skin tone,People & Body,hand-single-finger,middle-finger,,
🖕🏼,middle finger: medium-light skin tone,People & Body,hand-single-finger,middle-finger,,
🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger,middle-finger,,
🖕🏾,middle finger: medium-dark skin tone,People & Body,hand-single-finger,middle-finger,,
🖕🏿,middle finger: dark skin tone,People & Body,hand-single-finger,middle-finger,,
👇,backhand index pointing down,People & Body,hand-single-finger,point-down,,
👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger,point-down,,
👇🏼,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger,point-down,,
👇🏽,backhand index pointing down: medium skin tone,People & Body,hand-single-finger,point-down,,
👇🏾,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger,point-down,,
👇🏿,backhand index pointing down: dark skin tone,People & Body,hand-single-finger,point-down,,
☝️,index pointing up,People & Body,hand-single-finger,point-up,,
☝🏻,index pointing up: light skin tone,People & Body,hand-single-finger,point-up,,
☝🏼,index pointing up: medium-light skin tone,People & Body,hand-single-finger,point-up,,
☝🏽,index pointing up: medium skin tone,People & Body,hand-single-finger,point-up,,
☝🏾,index pointing up: medium-dark skin tone,People & Body,hand-single-finger,point-up,,
☝🏿,index pointing up: dark skin tone,People & Body,hand-single-finger,point-up,,
🫵,index pointing at the viewer,People & Body,hand-single-finger,point-at-viewer,,
🫵🏻,index pointing at the viewer: light skin tone,People & Body,hand-single-finger,point-at-viewer,,
🫵🏼,index pointing at the viewer: medium-light skin tone,People & Body,hand-single-finger,point-at-viewer,,
🫵🏽,index pointing at the viewer: medium skin tone,People & Body,hand-single-finger,point-at-viewer,,
🫵🏾,index pointing at the viewer: medium-dark skin tone,People & Body,hand-single-finger,point-at-viewer,,
🫵🏿,index pointing at the viewer: dark skin tone,People & Body,hand-single-finger,point-at-viewer,,
👍,thumbs up,People & Body,hand-fingers-closed,thumbs-up,,
👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed,thumbs-up,,
👍🏼,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed,thumbs-up,,
👍🏽,thumbs up: medium skin tone,People & Body,hand-fingers-closed,thumbs-up,,
👍🏾,thumbs up: medium-dark skin tone,People & Body,hand-fingers-closed,thumbs-up,,
👍🏿,thumbs up: dark skin tone,People & Body,hand-fingers-closed,thumbs-up,,
👎,thumbs down,People & Body,hand-fingers-closed,thumbs-down,,
👎🏻,thumbs down: light skin tone,People & Body,hand-fingers-closed,thumbs-down,,
👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed,thumbs-down,,
👎🏽,thumbs down: medium skin tone,People & Body,hand-fingers-closed,thumbs-down,,
👎🏾,thumbs down: medium-dark skin tone,People & Body,hand-fingers-closed,thumbs-down,,
👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed,thumbs-down,,
✊,raised fist,People & Body,hand-fingers-closed,fist,,
✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed,fist,,
✊🏼,raised fist: medium-light skin tone,People & Body,hand-fingers-closed,fist,,
✊🏽,raised fist: medium skin tone,People & Body,hand-fingers-closed,fist,,
✊🏾,raised fist: medium-dark skin tone,People & Body,hand-fingers-closed,fist,,
✊🏿,raised fist: dark skin tone,People & Body,hand-fingers-closed,fist,,
👊,oncoming fist,People & Body,hand-fingers-closed,punch,,
👊🏻,oncoming fist: light skin tone,People & Body,hand-fingers-closed,punch,,
👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed,punch,,
👊🏽,oncoming fist: medium skin tone,People & Body,hand-fingers-closed,punch,,
👊🏾,oncoming fist: medium-dark skin tone,People & Body,hand-fingers-closed,punch,,
👊🏿,oncoming fist: dark skin tone,People & Body,hand-fingers-closed,punch,,
🤛,left-facing fist,People & Body,hand-fingers-closed,left-fist,,
🤛🏻,left-facing fist: light skin tone,People & Body,hand-fingers-closed,left-fist,,
🤛🏼,left-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,left-fist,,
🤛🏽,left-facing fist: medium skin tone,People & Body,hand-fingers-closed,left-fist,,
