lemma,status,emoji,literal,clarity,source,notes
excellent,redundant,,,,lemma-map,→ great
audience,redundant,,,,lemma-map,→ people
procedure,redundant,,,,lemma-map,→ way
global,redundant,,,,lemma-map,→ world
struggle,redundant,,,,lemma-map,→ hard
advertise,redundant,,,,lemma-map,→ announce
select,redundant,,,,lemma-map,→ choose
surround,redundant,,,,lemma-map,→ world
extent,redundant,,,,lemma-map,→ long
river,redundant,,,,lemma-map,→ water
annual,redundant,,,,lemma-map,→ year
fully,redundant,,,,lemma-map,→ lot
contrast,redundant,,,,lemma-map,→ opposite
reality,redundant,,,,lemma-map,→ true
photograph,redundant,,,,lemma-map,→ photo
conflict,redundant,,,,lemma-map,→ war
entire,redundant,,,,lemma-map,→ all
presence,redundant,,,,lemma-map,→ who
crowd,redundant,,,,lemma-map,→ people
corner,redundant,,,,lemma-map,→ place
gas,redundant,,,,lemma-map,→ fuel
shift,redundant,,,,lemma-map,→ change
net,redundant,,,,lemma-map,→ catch
category,redundant,,,,lemma-map,→ thing
secretary,redundant,,,,lemma-map,→ worker
defense,redundant,,,,lemma-map,→ defend
quick,redundant,,,,lemma-map,→ fast
